epoch,train_loss,val_organizer_score,best_epoch,best_val_organizer_score,stale_epochs,train_seconds,val_seconds,epoch_seconds
1,2.1133852005004883,0.16779650979024466,1,0.16779650979024466,0,434.23504931107163,530.3345771576278,964.596079248935
2,1.6469718217849731,0.12557857918595006,1,0.16779650979024466,1,160.60823420295492,48.42046353779733,209.02871165703982
3,1.2966480255126953,0.2238767397093333,3,0.2238767397093333,0,175.25369435362518,50.35479844128713,225.63148400792852
4,1.2795178890228271,0.2272835467959072,4,0.2272835467959072,0,143.98634955612943,53.49377820407972,197.5100177116692
5,1.2332139015197754,0.1447051088281887,4,0.2272835467959072,1,124.66194595815614,48.87332183960825,173.53527915803716
6,1.1760969161987305,0.20161706259441003,4,0.2272835467959072,2,129.2185138007626,48.71933245798573,177.9378570090048
7,1.1002566814422607,0.3005965524668019,7,0.3005965524668019,0,129.06125369202346,49.38376736966893,178.4678660868667
8,1.0174058675765991,0.2548701378977186,7,0.3005965524668019,1,125.47793998289853,51.05687910085544,176.53483167896047
9,1.0956887006759644,0.16928730104098177,7,0.3005965524668019,2,116.7873217612505,50.240281586069614,167.02761463820934
10,0.9863746166229248,0.24569507200212326,7,0.3005965524668019,3,151.62800064403564,48.103745474945754,199.73175852326676
11,0.950686514377594,0.3476725661941036,11,0.3476725661941036,0,132.07048281794414,48.63998856488615,180.73853868665174
12,0.9058805108070374,0.2619378835742478,11,0.3476725661941036,1,173.85801749303937,49.23917860398069,223.09720786008984
13,0.9462284445762634,0.3358469138336918,11,0.3476725661941036,2,131.45683278515935,49.64792015403509,181.10476416023448
14,0.85699462890625,0.2430985378357825,11,0.3476725661941036,3,139.22638300899416,51.03342053107917,190.25982101401314
15,0.9235809445381165,0.2158413485649348,11,0.3476725661941036,4,130.16280156327412,50.61508287116885,180.7778953248635
16,0.9764716029167175,0.2832108293593427,11,0.3476725661941036,5,132.38815308501944,50.39393487200141,182.78211367502809
17,0.9406486749649048,0.19172893178458195,11,0.3476725661941036,6,122.20284205395728,49.927526460029185,172.13038275158033
