epoch,train_loss,val_organizer_score,best_epoch,best_val_organizer_score,stale_epochs,train_seconds,val_seconds,epoch_seconds
1,1.8718656301498413,0.03916421536120599,1,0.03916421536120599,0,11.962589633010793,7.869910679990426,19.84124523799983
2,0.8100153803825378,0.07625327775903676,2,0.07625327775903676,0,11.470132408983773,7.625500530994032,19.102351755980635
3,0.7720996141433716,0.05835421217687484,2,0.07625327775903676,1,14.2230534949922,7.660739362996537,21.883950574003393
4,0.5590036511421204,0.1316483640326473,4,0.1316483640326473,0,11.877997865987709,7.715342454001075,19.60047467899858
5,0.33620885014533997,0.07273958898222908,4,0.1316483640326473,1,15.743764915008796,7.774446288996842,23.518339655012824
6,0.4032708704471588,0.13425983288698218,6,0.13425983288698218,0,13.111347477999516,7.732808102009585,20.852132342988625
7,0.31566470861434937,0.00919329795047699,6,0.13425983288698218,1,15.19652647600742,7.740982799994526,22.937635485024657
8,0.2837812900543213,0.004156602445531894,6,0.13425983288698218,2,13.61628474801546,7.779827329010004,21.39624725098838
9,0.3073238432407379,0.019361371918603053,6,0.13425983288698218,3,12.540504623000743,7.759614900016459,20.300289406004595
10,0.4487416446208954,0.12303146771078242,6,0.13425983288698218,4,13.129472571017686,7.779669120995095,20.90928075098782
11,0.3519088327884674,0.0064112241085969935,6,0.13425983288698218,5,13.980855369998608,7.782574167998973,21.76363793099881
12,0.24739471077919006,0.092249250172557,6,0.13425983288698218,6,12.492862865998177,7.7098535310069565,20.202866662002634
