archive,source_split,domain,session_id,role,age,gender
test.zip,test-cc,CC,007,purple,4.0,2
test.zip,test-cc,CC,007,yellow,4.0,2
test.zip,test-cc,CC,013,purple,7.0,2
test.zip,test-cc,CC,013,yellow,7.0,1
test.zip,test-cc,CC,049,purple,7.0,2
test.zip,test-cc,CC,049,yellow,6.0,2
test.zip,test-cc,CC,052,purple,7.0,2
test.zip,test-cc,CC,052,yellow,7.0,2
test.zip,test-cc,CC,055,purple,7.0,2
test.zip,test-cc,CC,055,yellow,8.0,2
test.zip,test-cc,CC,070,purple,7.0,2
test.zip,test-cc,CC,070,yellow,7.0,1
test.zip,test-cr,CR,016,purple,6.0,1
test.zip,test-cr,CR,021,purple,7.0,1
test.zip,test-cr,CR,025,purple,8.0,1
test.zip,test-cr,CR,027,purple,8.0,1
test.zip,test-cr,CR,030,purple,8.0,1
test.zip,test-cr,CR,034,purple,5.0,2
train-cc.zip,train-cc,CC,002,purple,4.0,1
train-cc.zip,train-cc,CC,002,yellow,4.0,1
train-cc.zip,train-cc,CC,003,purple,4.0,1
train-cc.zip,train-cc,CC,003,yellow,4.0,1
train-cc.zip,train-cc,CC,012,purple,7.0,1
train-cc.zip,train-cc,CC,012,yellow,7.0,1
train-cc.zip,train-cc,CC,015,purple,7.0,1
train-cc.zip,train-cc,CC,015,yellow,7.0,2
train-cc.zip,train-cc,CC,020,purple,8.0,1
train-cc.zip,train-cc,CC,020,yellow,8.0,1
train-cc.zip,train-cc,CC,022,purple,8.0,1
train-cc.zip,train-cc,CC,022,yellow,8.0,1
train-cc.zip,train-cc,CC,024,purple,8.0,2
train-cc.zip,train-cc,CC,024,yellow,8.0,1
train-cc.zip,train-cc,CC,028,purple,8.0,2
train-cc.zip,train-cc,CC,028,yellow,8.0,2
train-cc.zip,train-cc,CC,029,purple,8.0,2
train-cc.zip,train-cc,CC,029,yellow,8.0,2
train-cc.zip,train-cc,CC,033,purple,6.0,2
train-cc.zip,train-cc,CC,033,yellow,6.0,1
train-cc.zip,train-cc,CC,037,purple,6.0,2
train-cc.zip,train-cc,CC,037,yellow,6.0,1
train-cc.zip,train-cc,CC,039,purple,7.0,2
train-cc.zip,train-cc,CC,039,yellow,7.0,1
train-cc.zip,train-cc,CC,042,purple,7.0,1
train-cc.zip,train-cc,CC,042,yellow,7.0,1
train-cc.zip,train-cc,CC,043,purple,6.0,2
train-cc.zip,train-cc,CC,043,yellow,6.0,1
train-cc.zip,train-cc,CC,044,purple,7.0,1
train-cc.zip,train-cc,CC,044,yellow,7.0,1
train-cc.zip,train-cc,CC,051,purple,7.0,2
train-cc.zip,train-cc,CC,051,yellow,7.0,2
train-cc.zip,train-cc,CC,054,purple,7.0,2
train-cc.zip,train-cc,CC,054,yellow,7.0,1
train-cc.zip,train-cc,CC,058,purple,7.0,1
train-cc.zip,train-cc,CC,058,yellow,6.0,1
train-cc.zip,train-cc,CC,060,purple,7.0,1
train-cc.zip,train-cc,CC,060,yellow,7.0,1
train-cc.zip,train-cc,CC,061,purple,7.0,1
train-cc.zip,train-cc,CC,061,yellow,7.0,1
train-cr.zip,train-cr,CR,004,purple,4.0,1
train-cr.zip,train-cr,CR,023,purple,7.0,1
train-cr.zip,train-cr,CR,032,purple,8.0,1
train-cr.zip,train-cr,CR,045,purple,7.0,2
train-cr.zip,train-cr,CR,047,purple,7.0,1
train-cr.zip,train-cr,CR,048,purple,7.0,2
train-cr.zip,train-cr,CR,050,purple,7.0,1
train-cr.zip,train-cr,CR,056,purple,7.0,2
train-cr.zip,train-cr,CR,057,purple,7.0,1
train-cr.zip,train-cr,CR,063,purple,7.0,2
train-cr.zip,train-cr,CR,067,purple,7.0,1
train-cr.zip,train-cr,CR,069,purple,7.0,2
val.zip,val-cc,CC,005,purple,4.0,2
val.zip,val-cc,CC,005,yellow,4.0,2
val.zip,val-cc,CC,010,purple,7.0,1
val.zip,val-cc,CC,010,yellow,6.0,1
val.zip,val-cc,CC,017,purple,7.0,2
val.zip,val-cc,CC,017,yellow,6.0,2
val.zip,val-cc,CC,036,purple,6.0,2
val.zip,val-cc,CC,036,yellow,5.0,1
val.zip,val-cc,CC,038,purple,6.0,2
val.zip,val-cc,CC,038,yellow,6.0,1
val.zip,val-cc,CC,046,purple,7.0,1
val.zip,val-cc,CC,046,yellow,7.0,1
val.zip,val-cc,CC,065,purple,7.0,2
val.zip,val-cc,CC,065,yellow,7.0,2
val.zip,val-cr,CR,014,purple,7.0,2
val.zip,val-cr,CR,018,purple,7.0,2
val.zip,val-cr,CR,019,purple,8.0,1
val.zip,val-cr,CR,026,purple,8.0,1
val.zip,val-cr,CR,059,purple,6.0,2
